CHECKPOINT	TASK_1	TASK_2	TASK_3	TASK_4	TASK_5	TASK_6	TASK_7	TASK_8	TASK_9	TASK_10	TASK_11	TASK_12	TASK_13	TASK_14	TASK_15	TASK_16	TASK_17	TASK_18	TASK_19	TASK_20	TASK_21	TASK_22	TASK_23
checkpoint-3800	0.6823	0.629	0.767	0.7203	0.6804	0.7931	0.745	0.6962	0.7962	0.7437	0.7154	0.6377	0.6604	0.7174	0.593	0.7528	0.6706	0.7661	0.8574	0.6973	0.6669	0.5774	0.6834
checkpoint-3850	0.6709	0.6205	0.7618	0.7158	0.6778	0.7933	0.7459	0.6912	0.7887	0.7343	0.715	0.6281	0.6556	0.708	0.5936	0.7519	0.6742	0.767	0.8564	0.7008	0.6616	0.5768	0.6825
checkpoint-3900	0.6862	0.6196	0.7625	0.7218	0.6771	0.7946	0.7253	0.6798	0.7885	0.736	0.7083	0.634	0.6559	0.7211	0.5958	0.7591	0.6743	0.7684	0.8554	0.7002	0.6727	0.5598	0.6813
checkpoint-3950	0.6822	0.6233	0.7602	0.7179	0.6666	0.7942	0.7347	0.6823	0.7953	0.7391	0.7096	0.6302	0.6602	0.7204	0.5944	0.7595	0.6631	0.7696	0.8548	0.6976	0.6665	0.5633	0.6831
checkpoint-4000	0.6818	0.6101	0.7489	0.7164	0.6614	0.7897	0.7388	0.6782	0.7902	0.7345	0.7105	0.6222	0.6481	0.707	0.5822	0.7419	0.6665	0.7637	0.8505	0.6891	0.6644	0.5597	0.6661
checkpoint-4050	0.6729	0.6135	0.7554	0.7165	0.6677	0.7864	0.7271	0.6796	0.7844	0.7364	0.6967	0.6296	0.6407	0.7022	0.5741	0.7429	0.6676	0.7577	0.8517	0.6899	0.6606	0.5736	0.6535
checkpoint-4100	0.6772	0.6013	0.7527	0.7106	0.6504	0.7934	0.7332	0.6748	0.7788	0.7359	0.6949	0.6211	0.65	0.7023	0.5826	0.7526	0.6568	0.7604	0.85	0.697	0.6569	0.5442	0.676
checkpoint-4150	0.6757	0.6016	0.746	0.7148	0.6499	0.7882	0.7375	0.6737	0.7804	0.7306	0.6895	0.6122	0.6484	0.6971	0.5741	0.7521	0.6618	0.7586	0.8475	0.6869	0.644	0.588	0.6498
checkpoint-4200	0.6787	0.586	0.7501	0.7081	0.6434	0.7867	0.7216	0.6688	0.7765	0.7272	0.702	0.6142	0.6401	0.7019	0.5733	0.7469	0.6577	0.76	0.8451	0.6873	0.6474	0.5541	0.6462
checkpoint-4250	0.6746	0.5986	0.7589	0.7111	0.6418	0.7839	0.7226	0.6623	0.7783	0.7283	0.6921	0.612	0.6367	0.7008	0.5699	0.7424	0.6649	0.7606	0.844	0.6968	0.6358	0.5675	0.6468
